"uid","nightuid","namedLocation","domainID","siteID","plotID","collectDate","samplingProtocolVersion","remarks"
"5e7cb8f7-40c3-4efc-9d7b-cf9045d2bcbd","F0980FBC2E53489883B353077B33D8A5","STER_006.mammalGrid.mam","D10","STER","STER_006","2016-09-08","NEON.DOC.000481vH",""
"16a2fec6-da00-42e0-8632-e382911ff8f9","A02AE61C3BAD4AEC935755BBBC2EDED5","STER_029.mammalGrid.mam","D10","STER","STER_029","2016-09-08","NEON.DOC.000481vH",""
"93d28eaa-0287-4850-9e4b-d58fe3d6472b","5D1B1BDC1B8F4D6593E7A6DDD5051ACD","STER_031.mammalGrid.mam","D10","STER","STER_031","2016-09-08","NEON.DOC.000481vH",""
"719eb4c1-e9d1-40cb-b46b-84f5bcb3dee0","990AE08628F543E8839847F28D681946","STER_026.mammalGrid.mam","D10","STER","STER_026","2016-09-08","NEON.DOC.000481vH",""
"ea1c9101-2ff4-45bf-a27c-9c8506008ec1","616509A8FA10449196076458DFEE42BC","STER_028.mammalGrid.mam","D10","STER","STER_028","2016-09-09","NEON.DOC.000481vH",""
"dcdb9398-1ced-40e7-98da-df958ca3aedf","A7C2023CB7554C6FBC4E019C82802EBA","STER_031.mammalGrid.mam","D10","STER","STER_031","2016-09-09","NEON.DOC.000481vH","Traps disturbed by cows overnight and during morning trap checking"
"3d75a8e3-9256-4adb-84f2-077ca4449a68","95FA1C7DEBD047A5B6488E2663C5ED5D","STER_029.mammalGrid.mam","D10","STER","STER_029","2016-09-09","NEON.DOC.000481vH",""
"5be21265-0f7d-4e88-a958-4814d1711c34","3C6CB2693A19451CBE054039B77D7060","STER_006.mammalGrid.mam","D10","STER","STER_006","2016-09-09","NEON.DOC.000481vH",""
"aafb1174-2054-47c5-bc59-4f395b684d72","69DA68D1181D42BD94CB16523701093E","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","2016-07-06","NEON.DOC.000481vH",""
"bb1830ef-050d-4a09-9f47-d601c1677cdc","21FABAD2CA1B4486B0A66604E9930A39","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","2016-07-06","NEON.DOC.000481vH",""
"160d92ec-5271-438b-9917-725870a11757","7EAA973FACAE459BB47EC566AA3CC0BE","CLBJ_040.mammalGrid.mam","D11","CLBJ","CLBJ_040","2016-07-07","NEON.DOC.000481vH",""
"c6340014-8fde-4552-8d0c-1bc0815e0eb5","1965C54F119C4C08A933BC64FA190F01","CLBJ_057.mammalGrid.mam","D11","CLBJ","CLBJ_057","2016-07-07","NEON.DOC.000481vH",""
"194e56ae-565e-4d80-a775-99bc4e4be15c","42CAEA7D5A6B426F84C8AB7A223E9B84","CLBJ_039.mammalGrid.mam","D11","CLBJ","CLBJ_039","2016-07-08","NEON.DOC.000481vH",""
"66a7529a-5662-4908-869c-f77526fafe01","786F3CA60A8845E6ADCB903C54AE5271","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","2016-07-08","NEON.DOC.000481vH",""
"fe6a3dd5-4c29-4b55-b858-29b544ed6e1c","7001B3545D4B41FEAEF1E6E48AB6BB0B","CLBJ_034.mammalGrid.mam","D11","CLBJ","CLBJ_034","2016-07-09","NEON.DOC.000481vH","Zero captures for entire plot"
"b3765355-cd2e-47e6-bee0-d539db3d6ec0","DD8D7B80A58F4D209C6BEB7A757E575E","CLBJ_037.mammalGrid.mam","D11","CLBJ","CLBJ_037","2016-07-09","NEON.DOC.000481vH",""
"5837f0d9-8d52-49ca-969a-c4dcb15c2cc9","F6A93AD3DBA14EC8911DFC6AB04590D3","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","2016-08-02","NEON.DOC.000481vH",NA
"9210c1f0-563d-4841-bb94-986bf2498c94","7612D03AAD32407492413C483E649B27","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","2016-08-02","NEON.DOC.000481vH",NA
"48c0afe1-05d5-4ce3-8804-57d0ba90019a","B1DDCFA90884456D818BC740B49C0EF8","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","2016-08-02","NEON.DOC.000481vH",NA
"5201bb20-010d-4e95-b518-33da38ecbb6c","072AF5126E7849B7B1C641CF1FE847AD","CLBJ_040.mammalGrid.mam","D11","CLBJ","CLBJ_040","2016-08-02","NEON.DOC.000481vH",NA
"b4f0cc72-94fb-4994-bbb8-829c93f60592","87DBA8DA663146978ACE96A7C480DA92","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","2016-08-03","NEON.DOC.000481vH",NA
"da17b8f3-4130-4228-ac2c-2a79e3eaa5f7","2668DF0A63774A31980C45C8F18FDE15","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","2016-08-03","NEON.DOC.000481vH",NA
"7932cb63-e7d5-4b2a-85c3-64f4ce497f6b","3F7672A41A5B4AFC8EBDE482CE6825D9","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","2016-08-04","NEON.DOC.000481vH",NA
"19dea04b-461f-4dc7-96ac-bffde7c5f624","A9D367FC555A4BB4A1E649844EFE7DFC","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","2016-08-04","NEON.DOC.000481vH",NA
"29005860-d010-4faf-a1a3-9cf7fa535044","6A6B7572D8DB44098181B17F68D192EB","CLBJ_034.mammalGrid.mam","D11","CLBJ","CLBJ_034","2016-08-04","NEON.DOC.000481vH",NA
"b6576e8d-4b1b-460c-9130-dc5d463c76af","47AE8A1F37EB45EB8954281759F84451","CLBJ_057.mammalGrid.mam","D11","CLBJ","CLBJ_057","2016-08-05","NEON.DOC.000481vH",NA
"d29ca3a6-9fc1-44f1-9081-18b6461edebb","895070EDD92E47CD84BD555B08681833","CLBJ_039.mammalGrid.mam","D11","CLBJ","CLBJ_039","2016-08-05","NEON.DOC.000481vH",NA
"0814f3e5-900d-4db6-9590-5e22f3e52931","7E882548FA714A57BC0D89183C900D46","CLBJ_037.mammalGrid.mam","D11","CLBJ","CLBJ_037","2016-08-05","NEON.DOC.000481vH",NA
